Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Image Src,Image Alt Text,Status
classic-handcrafted-leather-wallet-with-id-window-mkz-732505,Classic Handcrafted Leather Wallet with ID Window,"<p>A premium travel wallet crafted from high-quality vintage grain leather, featuring a rich tan finish that develops a unique patina over time for a timeless look. Perfect for keeping your essentials organized in style.  Key Features:  Genuine vintage grain leather with classic tan finish  Multiple card slots and compartments for organized storage  Spacious design for cash, passport, and mobile  Dur</p><ul><li>Material: PU Leather</li><li>Pattern: Plain</li><li>Gender: Men's</li><li>Product Feature: 6 Layers, Card Pockets</li><li>Number Of Pieces: 1 Pc</li><li>Color: Brown</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ2335200012PRPT</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/classic-handcrafted-leather-wallet-with-id-window/732505?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Card Holder,"Fashion Accessories, Men’s Wallets",FALSE,color,Brown,MKZ-732505-732505001,0,,,continue,manual,533,TRUE,https://www.markaz.app/api/export/image/2335-147-732505-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732505-product-1.webp,Classic Handcrafted Leather Wallet with ID Window,draft
classic-handcrafted-leather-wallet-with-id-window-mkz-732505,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-147-732505-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732505-product-2.webp,Classic Handcrafted Leather Wallet with ID Window,
classic-handcrafted-leather-wallet-with-id-window-mkz-732505,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-147-732505-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732505-product-3.webp,Classic Handcrafted Leather Wallet with ID Window,
classic-handcrafted-leather-wallet-with-id-window-mkz-732505,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-147-732505-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732505-product-4.webp,Classic Handcrafted Leather Wallet with ID Window,
premium-vintage-leather-card-holder-wallet-compact-stylish-mkz-732506,Premium Vintage Leather Card Holder Wallet – Compact & Stylish,"<p>Upgrade your everyday carry with this elegant and compact leather card holder. Crafted from high-quality textured leather, this wallet combines durability with a timeless vintage look.  Key Features:  Premium leather material with a classic finish Slim and lightweight design – easy to carry in pocket Secure snap button closure Multiple card slots for organized storage Perfect for credit cards, deb</p><ul><li>Material: PU Leather</li><li>Pattern: Plain</li><li>Gender: Men's</li><li>Product Feature: 6 Layers, Card Pockets</li><li>Number Of Pieces: 1 Pc</li><li>Color: Brown</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ2335200013PRPT</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/premium-vintage-leather-card-holder-wallet-compact-stylish/732506?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Card Holder,"Fashion Accessories, Men’s Wallets",FALSE,color,Brown,MKZ-732506-732506001,0,,,continue,manual,533,TRUE,https://www.markaz.app/api/export/image/2335-147-732506-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732506-product-1.webp,Premium Vintage Leather Card Holder Wallet – Compact & Stylish,draft
premium-vintage-leather-card-holder-wallet-compact-stylish-mkz-732506,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-147-732506-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732506-product-2.webp,Premium Vintage Leather Card Holder Wallet – Compact & Stylish,
premium-vintage-leather-card-holder-wallet-compact-stylish-mkz-732506,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-147-732506-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-147-732506-product-3.webp,Premium Vintage Leather Card Holder Wallet – Compact & Stylish,
mens-imported-quality-watch-mkz-753116,Men's Imported Quality Watch,"<ul><li>Material: PU Leather</li><li>Pattern: Plain Strap</li><li>Gender: Men's, Unisex</li><li>Watch Case Shape: Round</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Imported Quality, Reliable Time Accuracy, Comfortable Daily Wear, Modern Stylish Look, Perfect For All Occasions, Clear Dial Display, Lightweight Design, Premium Finish</li><li>Number Of Pieces: 1 Pc</li><li>Color: Black</li><li>Package Includes: 1 x Luxury Watch</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ2335200027PRPT</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/mens-imported-quality-watch/753116?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Luxury Watch,"Fashion Accessories, Men’s Watches",FALSE,Color,Black,MKZ-753116-753116001,0,,,continue,manual,1451,TRUE,https://www.markaz.app/api/export/image/2335-132-753116-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-132-753116-product-1.webp,Men's Imported Quality Watch,draft
mens-imported-quality-watch-mkz-753116,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-132-753116-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-132-753116-product-2.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-753116,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-132-753116-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-132-753116-product-3.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-753116,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-132-753116-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-132-753116-product-4.webp,Men's Imported Quality Watch,
mens-imported-quality-watch-mkz-753116,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/2335-132-753116-product-5.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F2335-132-753116-product-5.webp,Men's Imported Quality Watch,
chic-womens-square-dial-watch-with-chain-strap-mkz-675733,Chic Women's Square Dial Watch with Chain Strap,"<p>This chic women's watch is the perfect blend of elegance and practicality, designed to match your daily style whether you're heading to work or attending a special event. Its durable brass construction ensures long-lasting performance, while the sleek black and silver chain strap adds a touch of sophistication that complements any outfit. The square dial with a modern 12-hour display offers clear, easy-to-read timekeeping without compromising on fashion. Ideal for Pakistani women who value both style and substance, this watch is a smart investment for your wardrobe.</p><p>The watch’s stylish design is inspired by luxury brands, making it a standout accessory for casual office wear or glamorous parties. Its lightweight and comfortable fit ensures all-day wear without discomfort. The durable materials and precise craftsmanship make it resistant to everyday wear and tear. The elegant chain strap is not only fashionable but also secure, preventing accidental slips. The compact size and minimalist design make it easy to pair with any outfit, from jeans to evening gowns.</p><p>- Premium Quality brass construction for durability</p><p>- Stylish black and silver chain strap for a chic look</p><p>- Modern square dial with clear 12-hour display</p><p>- Perfect for casual office and party wear</p><p>- Lightweight and comfortable for all-day wear</p><p>- New Arrival with best price in Pakistan</p><ul><li>Material: Brass</li><li>Pattern: Chain Strap</li><li>Gender: Women's</li><li>Watch Case Shape: Square</li><li>Display Format: 12-Hour Format</li><li>Product Feature: Fashion Forward Design Inspired By Luxury Brands, Perfect For Casual Office And Party Wear</li><li>Width: Inches</li><li>Number Of Pieces: 1 Pc</li><li>Color: Black, Silver, Rose Gold, Golden</li><li>Package Includes: 1 x Analogue Watch</li><li>Dial Diameter: 18 mm</li><li>Length: 12 Inches</li><li>Height: .03 Inches</li><li>Pack Of Pack Of 1</li><li>Note: There might be slight color differences as a result of varying lighting and monitor effects.</li><li>Product Code: MZ1936200007RAWS</li></ul><p>Delivered across Pakistan with cash on delivery.</p><p><a href=""https://www.markaz.app/shop/product/chic-womens-square-dial-watch-with-chain-strap/675733?ref=mkzx-d071d315-8f19-53d4-9d7d-9c3ca5a8fdb8"">View this product on Markaz</a></p>",,Analogue Watch,"Fashion Accessories, Women's Watches",FALSE,Size,Standard Size,MKZ-675733-675733001,0,,,continue,manual,3081,TRUE,https://www.markaz.app/api/export/image/1936-133-675733-product-1.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-675733-product-1.webp,Chic Women's Square Dial Watch with Chain Strap,draft
chic-womens-square-dial-watch-with-chain-strap-mkz-675733,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-133-675733-product-2.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-675733-product-2.webp,Chic Women's Square Dial Watch with Chain Strap,
chic-womens-square-dial-watch-with-chain-strap-mkz-675733,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-133-675733-product-3.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-675733-product-3.webp,Chic Women's Square Dial Watch with Chain Strap,
chic-womens-square-dial-watch-with-chain-strap-mkz-675733,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-133-675733-product-4.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-675733-product-4.webp,Chic Women's Square Dial Watch with Chain Strap,
chic-womens-square-dial-watch-with-chain-strap-mkz-675733,,,,,,,,,,,,,,,,,https://www.markaz.app/api/export/image/1936-133-675733-product-5.webp?src=https%3A%2F%2Fstatic.markaz.app%2Fpakistan%2Fproducts%2F1936-133-675733-product-5.webp,Chic Women's Square Dial Watch with Chain Strap,
